node_id,lat,lon,junction_complexity,dist_to_blackspot_km,nearest_blackspot_name,station_name,station_risk_score,station_trend_index,city_trend_index,risk_label
17327095,12.9105419,77.5987208,4,2.8322836499636517,Silk Board Junction,Madivala,0.3940774487471526,0.9573170731707318,0.978,0
17327139,12.9349653,77.6240716,3,0.27653129834906665,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,1
17327141,12.9384931,77.6291682,3,0.40644643538611386,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,1
17327420,13.0952244,77.5941775,3,6.6036529747561925,Hebbal Flyover,Hebbala,0.7431662870159453,0.981159420289855,0.978,0
17327433,12.9859511,77.5793248,3,5.874913363347656,Hebbal Flyover,Hebbala,0.7431662870159453,0.981159420289855,0.978,0
26529532,12.9785543,77.6205594,3,4.6898302468383495,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
26529574,12.9871884,77.6225171,3,5.6260092304896485,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
26529589,12.9814677,77.615623,3,5.100990368578029,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
26529606,12.9780194,77.6188785,4,4.6570839862060085,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
60952254,12.9709016,77.6048071,4,3.849026536696535,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
60952290,12.9586127,77.6046028,3,2.4844488162108984,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
60952294,12.9599337,77.6019168,3,2.66142667365634,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
60952298,12.9583662,77.602182,3,2.484777420366874,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
60952302,12.9548903,77.6054236,3,2.067549449829405,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
61746203,12.9409573,77.6276734,3,0.5109146832074553,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
61746206,12.9404239,77.62834,3,0.4913073781869103,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,1
61746207,12.9401189,77.6283899,4,0.46619294719062676,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,1
61746209,12.9401677,77.6286928,4,0.49018743716336943,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,1
61746218,12.9460158,77.6186662,3,1.2990664674178798,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
61746220,12.9412556,77.6241534,3,0.5407681953423028,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
61746221,12.944154,77.620952,3,0.9871771206567725,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
61748553,12.952415,77.6202156,3,1.8528298343346914,Koramangala Sony Signal,Mico layout,0.3917995444191344,1.0265625,0.978,0
61748559,12.9622709,77.5959673,3,3.0781412610139385,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
62011481,12.9731757,77.6094835,4,4.119773567879676,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
62013232,12.9563761,77.6057304,3,2.2323732085313264,Dairy Circle,Adugodi,0.24031890660592256,0.982,0.978,0
62053447,12.9706127,77.5068443,3,3.688777269412354,Summanahalli Junction,Kamakshipalya,1.0,0.9808612440191388,0.978,0
